order_id,user_id,item_sequence,timestamp
ORD00150,U0299,I0201|I0191|I0193|I0197,2024-10-03 13:26:10
ORD00151,U0042,I0080|I0087|I0088,2024-06-22 07:43:02
ORD00152,U0270,I0408|I0398|I0410,2024-08-14 14:27:21
ORD00153,U0226,I0501|I0506,2024-02-26 14:31:14
ORD00154,U0235,I0136|I0126,2024-06-25 13:47:14
ORD00155,U0081,I0559|I0566,2024-11-27 12:07:39
ORD00156,U0190,I0578|I0581,2024-02-15 12:23:13
ORD00157,U0156,I0298|I0287|I0297,2024-06-12 05:57:35
ORD00158,U0157,I0289|I0291|I0295,2024-07-31 12:55:03
ORD00159,U0023,I0427|I0415|I0423,2024-12-15 12:24:08
ORD00160,U0244,I0611|I0617|I0620,2024-06-28 19:42:11
ORD00161,U0230,I0142|I0145|I0155,2024-05-30 09:25:34
ORD00162,U0174,I0547|I0551|I0553,2024-09-07 07:10:42
ORD00163,U0013,I0590|I0578|I0594,2024-02-18 17:05:41
ORD00164,U0099,I0637|I0629|I0636,2024-03-14 19:32:50
ORD00165,U0010,I0114|I0118,2024-01-08 10:13:47
ORD00166,U0126,I0607|I0598|I0605,2024-01-18 13:59:40
ORD00167,U0012,I0346|I0333|I0344,2024-05-03 12:05:07
ORD00168,U0059,I0107|I0096|I0103,2024-04-09 19:09:26
ORD00169,U0158,I0411|I0424,2024-05-06 08:45:44
ORD00170,U0030,I0304|I0307,2024-06-09 20:16:14
ORD00171,U0193,I0111|I0117|I0120,2024-04-01 13:48:25
ORD00172,U0259,I0391|I0379,2024-05-03 13:26:38
ORD00173,U0034,I0484|I0488|I0492,2024-08-03 22:43:20
ORD00174,U0052,I0247|I0235|I0240|I0244,2024-06-06 13:54:48
ORD00175,U0257,I0215|I0206|I0211|I0212,2024-10-30 09:27:19
ORD00176,U0285,I0456|I0460|I0462,2024-09-10 22:00:58
ORD00177,U0031,I0485|I0490,2024-05-27 23:53:15
ORD00178,U0109,I0597|I0600|I0608,2024-10-14 15:04:03
ORD00179,U0154,I0079|I0085,2024-10-08 15:17:38
ORD00180,U0222,I0216|I0206|I0218,2024-10-19 18:17:59
ORD00181,U0126,I0320|I0324,2024-01-07 21:08:43
ORD00182,U0002,I0621|I0611|I0619,2024-08-03 20:45:39
ORD00183,U0251,I0408|I0395|I0405,2024-01-13 20:52:06
ORD00184,U0228,I0113|I0117,2024-05-19 12:53:57
ORD00185,U0005,I0121|I0113|I0118,2024-03-27 18:48:23
ORD00186,U0144,I0353|I0356|I0358,2024-11-09 18:14:09
ORD00187,U0253,I0367|I0371|I0374,2024-08-23 09:12:50
ORD00188,U0203,I0114|I0117|I0124,2024-03-07 15:42:42
ORD00189,U0290,I0621|I0614|I0623,2024-10-16 06:16:35
ORD00190,U0292,I0221|I0224|I0232,2024-09-26 18:39:45
ORD00191,U0130,I0559|I0565|I0572,2024-11-27 21:27:00
ORD00192,U0209,I0269|I0274|I0277,2024-05-20 14:02:42
ORD00193,U0115,I0051|I0056,2024-05-02 00:12:19
ORD00194,U0172,I0079|I0085|I0094,2024-01-29 21:12:04
ORD00195,U0085,I0333|I0338,2024-07-05 13:01:40
ORD00196,U0172,I0253|I0255|I0259,2024-11-19 05:21:32
ORD00197,U0267,I0247|I0238,2024-06-19 19:40:27
ORD00198,U0229,I0595|I0600|I0604,2024-05-01 20:44:33
ORD00199,U0034,I0128|I0130|I0134,2024-08-25 17:04:48
ORD00200,U0053,I0061|I0051|I0063,2024-02-07 17:26:09
ORD00201,U0120,I0621|I0613|I0616|I0619,2024-11-04 13:39:19
ORD00202,U0052,I0333|I0343,2024-07-19 12:12:24
ORD00203,U0056,I0095|I0102|I0103,2024-12-17 16:40:21
ORD00204,U0261,I0253|I0257,2024-08-29 13:15:58
ORD00205,U0071,I0035|I0040|I0042,2024-07-18 22:48:42
ORD00206,U0184,I0313|I0303|I0316,2024-04-29 17:18:14
ORD00207,U0189,I0013|I0001|I0010,2024-07-15 19:35:16
ORD00208,U0028,I0433|I0439,2024-10-31 06:12:21
ORD00209,U0244,I0480|I0472|I0482,2024-08-27 11:21:50
ORD00210,U0084,I0106|I0098|I0103,2024-12-23 00:14:20
ORD00211,U0118,I0479|I0471|I0482,2024-11-09 18:13:50
ORD00212,U0205,I0184|I0174|I0177|I0181,2024-05-18 03:07:43
ORD00213,U0073,I0299|I0286|I0295,2024-03-18 08:11:34
ORD00214,U0113,I0252|I0260,2024-04-05 08:01:11
ORD00215,U0091,I0250|I0263,2024-05-27 18:56:57
ORD00216,U0057,I0335|I0348,2024-04-03 12:23:34
ORD00217,U0088,I0533|I0535|I0536|I0537,2024-02-16 08:59:16
ORD00218,U0067,I0191|I0195|I0198,2024-08-20 13:40:11
ORD00219,U0126,I0044|I0037|I0039|I0041,2024-05-07 09:40:16
ORD00220,U0144,I0129|I0131|I0138,2024-10-09 07:30:49
ORD00221,U0034,I0169|I0159|I0167,2024-06-29 08:45:04
ORD00222,U0192,I0532|I0538,2024-04-14 16:40:03
ORD00223,U0299,I0034|I0039|I0041,2024-06-02 09:27:18
ORD00224,U0194,I0576|I0582|I0587,2024-02-02 08:05:37
ORD00225,U0152,I0464|I0457|I0461,2024-06-29 14:21:23
ORD00226,U0219,I0465|I0455|I0462,2024-05-03 10:01:40
ORD00227,U0092,I0453|I0459|I0461,2024-04-24 20:32:18
ORD00228,U0280,I0091|I0079|I0084|I0088,2024-05-19 03:12:04
ORD00229,U0171,I0190|I0198,2024-10-16 19:43:23
ORD00230,U0141,I0189|I0199,2024-10-14 15:16:53
ORD00231,U0005,I0304|I0308,2024-06-06 19:48:35
ORD00232,U0007,I0484|I0492,2024-03-29 09:47:07
ORD00233,U0108,I0487|I0490|I0492,2024-10-07 19:21:04
ORD00234,U0044,I0320|I0325|I0331,2024-06-19 13:35:05
ORD00235,U0016,I0365|I0370|I0374,2024-01-04 14:42:05
ORD00236,U0182,I0336|I0341|I0344,2024-07-27 11:37:57
ORD00237,U0012,I0589|I0575|I0582|I0587,2024-09-01 19:58:40
ORD00238,U0294,I0396|I0401|I0400|I0405,2024-05-30 08:06:28
ORD00239,U0169,I0590|I0574,2024-03-07 07:35:03
ORD00240,U0091,I0045|I0033|I0038|I0041,2024-01-27 21:24:12
ORD00241,U0146,I0208|I0209|I0213,2024-01-23 12:00:08
ORD00242,U0088,I0320|I0325|I0331,2024-02-13 08:26:30
ORD00243,U0245,I0065|I0069,2024-12-04 09:27:24
ORD00244,U0244,I0169|I0160|I0170,2024-07-14 18:29:23
ORD00245,U0142,I0189|I0196|I0197,2024-11-16 12:51:01
ORD00246,U0127,I0533|I0535,2024-06-27 13:02:02
ORD00247,U0047,I0299|I0288|I0301,2024-05-31 17:51:35
ORD00248,U0090,I0415|I0420|I0423,2024-05-29 21:11:15
ORD00249,U0292,I0095|I0100,2024-12-09 20:17:52
ORD00250,U0276,I0286|I0297,2024-10-09 18:13:21
ORD00251,U0253,I0415|I0417|I0419|I0422,2024-10-20 07:49:32
ORD00252,U0167,I0427|I0412|I0424,2024-01-18 13:04:47
ORD00253,U0237,I0382|I0384,2024-06-03 03:16:21
ORD00254,U0059,I0128|I0131,2024-06-28 06:35:32
ORD00255,U0125,I0455|I0458|I0461,2024-11-21 01:06:52
ORD00256,U0091,I0289|I0292|I0295,2024-09-17 19:43:42
ORD00257,U0140,I0151|I0141|I0150,2024-01-14 20:34:57
ORD00258,U0111,I0457|I0463,2024-09-14 18:57:11
ORD00259,U0053,I0382|I0387,2024-08-20 00:49:40
ORD00260,U0194,I0190|I0202,2024-03-18 07:26:06
ORD00261,U0015,I0002|I0006,2024-03-26 22:06:28
ORD00262,U0086,I0160|I0161|I0166,2024-05-05 15:12:29
ORD00263,U0107,I0547|I0549,2024-03-31 09:22:03
ORD00264,U0166,I0174|I0177|I0182,2024-03-23 13:04:27
ORD00265,U0143,I0625|I0631,2024-06-08 11:38:00
ORD00266,U0256,I0099|I0103,2024-04-07 22:38:08
ORD00267,U0167,I0380|I0388,2024-03-09 17:56:13
ORD00268,U0163,I0483|I0490|I0493,2024-06-23 12:40:32
ORD00269,U0120,I0525|I0514|I0527,2024-08-27 19:07:09
ORD00270,U0159,I0235|I0244,2024-01-31 06:23:54
ORD00271,U0256,I0289|I0292|I0297,2024-01-15 09:46:58
ORD00272,U0228,I0335|I0338|I0344,2024-11-03 22:41:20
ORD00273,U0148,I0019|I0023|I0025,2024-03-20 15:58:27
ORD00274,U0128,I0231|I0223|I0233,2024-03-12 13:00:04
ORD00275,U0034,I0499|I0503|I0508,2024-02-24 21:08:26
ORD00276,U0047,I0184|I0173|I0186,2024-06-14 18:19:34
ORD00277,U0085,I0189|I0194|I0198,2024-04-20 16:40:54
ORD00278,U0104,I0268|I0271|I0284,2024-06-03 12:30:27
ORD00279,U0226,I0449|I0433|I0444,2024-01-08 19:27:09
ORD00280,U0043,I0313|I0306|I0315,2024-04-09 12:19:57
ORD00281,U0233,I0290|I0294,2024-01-28 12:45:34
ORD00282,U0241,I0189|I0193|I0197,2024-11-30 14:46:28
ORD00283,U0192,I0510|I0501|I0508,2024-05-24 12:19:45
ORD00284,U0037,I0411|I0420|I0431,2024-03-04 08:27:37
ORD00285,U0131,I0361|I0351|I0359,2024-01-23 18:59:45
ORD00286,U0218,I0234|I0240|I0244,2024-10-01 18:44:24
ORD00287,U0076,I0261|I0252|I0263,2024-08-21 16:42:18
ORD00288,U0083,I0001|I0009|I0011,2024-10-01 16:57:50
ORD00289,U0042,I0532|I0542,2024-11-18 13:44:35
ORD00290,U0155,I0526|I0517,2024-04-29 18:48:15
ORD00291,U0046,I0107|I0096|I0109,2024-10-17 09:47:12
ORD00292,U0204,I0303|I0308|I0310,2024-02-07 06:44:00
ORD00293,U0214,I0541|I0532|I0537,2024-03-09 12:45:45
ORD00294,U0069,I0200|I0191|I0199,2024-11-12 09:12:58
ORD00295,U0031,I0184|I0174|I0180|I0182,2024-08-31 21:06:52
ORD00296,U0086,I0082|I0084,2024-04-17 06:01:38
ORD00297,U0300,I0247|I0234|I0242,2024-01-24 10:00:15
ORD00298,U0299,I0037|I0038|I0042,2024-08-22 14:48:34
ORD00299,U0137,I0510|I0502|I0507,2024-05-10 12:56:30
ORD00300,U0176,I0330|I0320|I0325|I0328,2024-01-23 22:55:47
ORD00301,U0170,I0098|I0102|I0103,2024-01-10 16:55:32
ORD00302,U0272,I0280|I0267,2024-06-24 17:42:54
ORD00303,U0244,I0525|I0513|I0524,2024-11-11 12:40:30
ORD00304,U0185,I0045|I0036,2024-03-31 17:25:27
ORD00305,U0042,I0361|I0349|I0359,2024-05-29 11:12:29
ORD00306,U0074,I0533|I0534|I0542,2024-07-12 19:19:52
ORD00307,U0281,I0471|I0473|I0477,2024-09-14 15:15:19
ORD00308,U0109,I0168|I0156|I0164|I0167,2024-01-12 08:59:00
ORD00309,U0168,I0390|I0381|I0386|I0388,2024-12-14 18:42:27
ORD00310,U0070,I0556|I0544|I0558,2024-12-04 09:36:31
ORD00311,U0034,I0336|I0341,2024-11-09 09:16:36
ORD00312,U0060,I0286|I0293|I0297,2024-08-17 21:47:30
ORD00313,U0060,I0576|I0583,2024-08-12 18:19:16
ORD00314,U0032,I0607|I0598|I0604,2024-10-26 12:43:32
ORD00315,U0065,I0533|I0537,2024-02-11 12:34:10
ORD00316,U0236,I0319|I0323|I0327,2024-09-21 13:38:53
ORD00317,U0146,I0140|I0150,2024-05-04 11:44:54
ORD00318,U0064,I0270|I0275|I0274|I0278,2024-11-17 09:18:31
ORD00319,U0193,I0050|I0054|I0054|I0059,2024-12-28 19:44:45
ORD00320,U0027,I0175|I0179|I0186,2024-01-09 15:21:28
ORD00321,U0217,I0486|I0489|I0488|I0493,2024-10-09 10:44:37
ORD00322,U0100,I0560|I0565,2024-10-19 19:55:54
ORD00323,U0028,I0313|I0306|I0310,2024-06-20 18:18:17
ORD00324,U0075,I0205|I0211|I0214,2024-01-04 12:54:16
ORD00325,U0295,I0096|I0104,2024-06-14 18:10:49
ORD00326,U0029,I0098|I0100,2024-01-21 07:32:32
ORD00327,U0174,I0606|I0598|I0603,2024-01-14 07:25:10
ORD00328,U0251,I0303|I0312,2024-10-16 12:44:10
ORD00329,U0046,I0471|I0474|I0482,2024-05-22 01:07:56
ORD00330,U0043,I0121|I0110|I0120,2024-08-10 23:30:42
ORD00331,U0141,I0106|I0098|I0101|I0105,2024-09-29 13:36:00
ORD00332,U0065,I0099|I0100,2024-06-06 19:01:15
ORD00333,U0202,I0571|I0559|I0566|I0569,2024-07-28 18:50:27
ORD00334,U0064,I0215|I0205,2024-11-30 16:11:15
ORD00335,U0003,I0571|I0559|I0567,2024-02-20 16:41:07
ORD00336,U0083,I0091|I0079|I0093,2024-07-15 11:34:39
ORD00337,U0088,I0437|I0438|I0439|I0444,2024-01-18 21:33:02
ORD00338,U0151,I0556|I0546|I0554,2024-12-19 23:22:51
ORD00339,U0276,I0513|I0518|I0522,2024-01-15 08:19:06
ORD00340,U0111,I0136|I0129|I0139,2024-04-17 08:39:55
ORD00341,U0217,I0076|I0067|I0074,2024-12-16 08:29:15
ORD00342,U0043,I0251|I0260,2024-03-20 06:46:28
ORD00343,U0138,I0192|I0199,2024-09-08 19:38:51
ORD00344,U0084,I0427|I0414|I0420|I0422,2024-08-22 09:17:38
ORD00345,U0064,I0548|I0550|I0552,2024-05-07 17:23:04
ORD00346,U0171,I0266|I0273|I0276,2024-02-08 12:14:51
ORD00347,U0194,I0106|I0096|I0102|I0105,2024-12-06 11:52:45
ORD00348,U0251,I0107|I0099|I0104,2024-08-23 07:03:08
ORD00349,U0088,I0330|I0318,2024-05-14 19:43:40
ORD00350,U0273,I0571|I0562|I0572,2024-04-10 00:32:25
ORD00351,U0080,I0129|I0132|I0134,2024-01-21 21:40:02
ORD00352,U0190,I0237|I0244,2024-06-26 08:22:49
ORD00353,U0240,I0516|I0519,2024-04-28 17:05:10
ORD00354,U0157,I0425|I0416|I0417|I0422,2024-10-10 09:05:19
ORD00355,U0085,I0579|I0582|I0587,2024-12-27 13:55:51
ORD00356,U0006,I0437|I0443,2024-07-05 14:43:02
ORD00357,U0273,I0121|I0110|I0120,2024-06-14 18:47:25
ORD00358,U0177,I0238|I0241|I0241|I0242,2024-08-23 13:10:54
ORD00359,U0269,I0221|I0224|I0229,2024-05-17 22:27:56
ORD00360,U0254,I0379|I0385|I0389,2024-04-06 19:54:50
ORD00361,U0061,I0288|I0293,2024-03-23 00:40:06
ORD00362,U0292,I0397|I0402|I0405,2024-11-16 20:59:13
ORD00363,U0238,I0625|I0632|I0639,2024-08-27 13:19:27
ORD00364,U0182,I0096|I0101|I0104,2024-01-04 07:31:57
ORD00365,U0102,I0091|I0082|I0088,2024-12-20 13:09:37
ORD00366,U0129,I0231|I0221|I0228,2024-06-15 20:34:54
ORD00367,U0138,I0098|I0100|I0100|I0104,2024-10-17 13:22:37
ORD00368,U0102,I0110|I0115|I0119,2024-06-12 18:57:27
ORD00369,U0017,I0159|I0167,2024-04-13 07:31:55
ORD00370,U0282,I0509|I0500|I0504|I0508,2024-10-08 21:53:34
ORD00371,U0200,I0125|I0130|I0133,2024-03-01 12:00:23
ORD00372,U0122,I0050|I0058,2024-08-19 18:27:09
ORD00373,U0246,I0286|I0294,2024-04-06 17:46:19
ORD00374,U0262,I0172|I0179|I0183,2024-04-06 18:27:35
ORD00375,U0102,I0483|I0493,2024-10-10 14:11:00
ORD00376,U0097,I0606|I0596|I0608,2024-02-21 12:17:10
ORD00377,U0099,I0153|I0141|I0148,2024-12-01 05:26:37
ORD00378,U0269,I0303|I0310,2024-05-10 13:03:16
ORD00379,U0262,I0448|I0432|I0451,2024-05-21 10:22:31
ORD00380,U0215,I0234|I0239,2024-01-16 00:42:51
ORD00381,U0165,I0206|I0211,2024-02-09 13:16:01
ORD00382,U0252,I0364|I0369,2024-09-16 01:35:34
ORD00383,U0067,I0335|I0340,2024-04-02 17:13:17
ORD00384,U0300,I0379|I0384|I0389,2024-10-15 16:02:59
ORD00385,U0098,I0188|I0197,2024-07-31 17:19:08
ORD00386,U0243,I0200|I0188|I0197,2024-03-15 13:45:10
ORD00387,U0130,I0561|I0565|I0566|I0569,2024-02-15 21:04:01
ORD00388,U0248,I0425|I0412|I0424,2024-04-16 18:08:01
ORD00389,U0149,I0044|I0034,2024-10-14 19:31:57
ORD00390,U0273,I0514|I0521|I0521|I0524,2024-10-29 12:38:30
ORD00391,U0140,I0205|I0211|I0212,2024-08-17 18:56:27
ORD00392,U0263,I0480|I0470|I0476,2024-04-25 18:35:35
ORD00393,U0061,I0160|I0162|I0166,2024-01-16 17:56:05
ORD00394,U0143,I0125|I0132,2024-04-06 23:13:24
ORD00395,U0274,I0112|I0117|I0120,2024-05-23 12:45:21
ORD00396,U0282,I0253|I0260,2024-04-24 12:03:25
ORD00397,U0006,I0351|I0354|I0358,2024-01-07 15:55:40
ORD00398,U0299,I0098|I0105,2024-04-09 20:40:50
ORD00399,U0283,I0215|I0206|I0210|I0212,2024-08-13 17:54:58
ORD00400,U0203,I0153|I0143|I0149,2024-02-27 20:05:29
ORD00401,U0254,I0184|I0173|I0183,2024-07-09 21:11:45
ORD00402,U0145,I0018|I0023,2024-09-23 17:04:23
ORD00403,U0074,I0076|I0067|I0072,2024-10-08 14:46:47
ORD00404,U0007,I0613|I0615|I0618,2024-11-17 01:53:06
ORD00405,U0023,I0125|I0131|I0133,2024-12-30 17:00:15
ORD00406,U0005,I0107|I0095|I0103,2024-02-24 13:36:06
ORD00407,U0228,I0159|I0162,2024-04-04 05:44:47
ORD00408,U0137,I0544|I0549|I0554,2024-04-25 07:56:11
ORD00409,U0213,I0141|I0145|I0148,2024-06-14 12:22:26
ORD00410,U0147,I0222|I0232,2024-07-10 08:07:00
