item_id,restaurant_id,item_name,item_category,price_inr,is_veg,taste_vector,global_popularity
I0102,R007,Coleslaw,Side,100,Y,"0.0,0.15,0.18,0.31",0.53
I0103,R007,Pepsi,Drink,65,Y,"0.03,0.5,0.16,0.12",0.52
I0104,R007,Mountain Dew,Drink,72,Y,"0.0,0.53,0.0,0.41",0.59
I0105,R007,Lemonade,Drink,93,Y,"0.01,0.17,0.0,0.76",0.53
I0106,R007,Pasta Arrabiata,Starter,193,Y,"0.54,0.0,0.31,0.45",0.5
I0107,R007,Chicken Wings,Starter,216,N,"0.75,0.06,0.42,0.25",0.73
I0108,R007,Choco Lava Cake,Dessert,143,Y,"0.07,0.96,0.07,0.0",0.79
I0109,R007,Tiramisu,Dessert,174,Y,"0.0,0.89,0.11,0.04",0.47
I0110,R008,Grilled Chicken,Main,337,N,"0.25,0.0,0.3,0.06",0.66
I0111,R008,Pasta Aglio e Olio,Main,280,Y,"0.14,0.0,0.39,0.0",0.85
I0112,R008,Fish & Chips,Main,352,N,"0.2,0.02,0.54,0.03",0.85
I0113,R008,Risotto,Main,320,Y,"0.06,0.1,0.32,0.05",0.73
I0114,R008,Club Sandwich,Main,265,N,"0.12,0.06,0.38,0.18",0.56
I0115,R008,Caesar Salad,Side,188,Y,"0.1,0.0,0.32,0.22",0.81
I0116,R008,Soup of the Day,Side,170,Y,"0.15,0.03,0.25,0.02",0.53
I0117,R008,Dinner Roll,Side,67,Y,"0.0,0.0,0.19,0.02",0.56
I0118,R008,Fresh Lime Soda,Drink,77,Y,"0.0,0.0,0.07,0.81",0.53
I0119,R008,Iced Tea,Drink,88,Y,"0.06,0.23,0.03,0.39",0.63
I0120,R008,Cold Coffee,Drink,137,Y,"0.0,0.33,0.05,0.0",0.43
I0121,R008,Bruschetta,Starter,195,Y,"0.06,0.05,0.31,0.26",0.47
I0122,R008,Chicken Quesadilla,Starter,232,N,"0.26,0.0,0.35,0.21",0.64
I0123,R008,Cheesecake,Dessert,209,Y,"0.0,0.79,0.06,0.15",0.45
I0124,R008,Panna Cotta,Dessert,200,Y,"0.03,0.77,0.02,0.0",0.82
I0125,R009,Grilled Chicken,Main,336,N,"0.15,0.0,0.45,0.09",0.76
I0126,R009,Pasta Aglio e Olio,Main,299,Y,"0.16,0.1,0.29,0.06",0.93
I0127,R009,Fish & Chips,Main,355,N,"0.17,0.0,0.53,0.17",0.58
I0128,R009,Risotto,Main,312,Y,"0.1,0.03,0.38,0.05",0.42
I0129,R009,Club Sandwich,Main,242,N,"0.06,0.0,0.49,0.08",0.68
I0130,R009,Caesar Salad,Side,170,Y,"0.03,0.01,0.28,0.14",0.6
I0131,R009,Soup of the Day,Side,164,Y,"0.1,0.0,0.21,0.05",0.47
I0132,R009,Dinner Roll,Side,59,Y,"0.0,0.14,0.12,0.09",0.73
I0133,R009,Fresh Lime Soda,Drink,77,Y,"0.04,0.0,0.0,0.88",0.52
I0134,R009,Iced Tea,Drink,106,Y,"0.08,0.19,0.0,0.37",0.67
I0135,R009,Cold Coffee,Drink,142,Y,"0.0,0.44,0.08,0.0",0.66
I0136,R009,Bruschetta,Starter,184,Y,"0.11,0.0,0.38,0.3",0.88
I0137,R009,Chicken Quesadilla,Starter,237,N,"0.21,0.05,0.47,0.17",0.83
I0138,R009,Cheesecake,Dessert,198,Y,"0.06,0.76,0.06,0.22",0.95
I0139,R009,Panna Cotta,Dessert,185,Y,"0.07,0.69,0.0,0.07",0.82
I0140,R010,Chicken Biryani,Main,222,N,"0.79,0.0,0.44,0.24",0.71
I0141,R010,Mutton Biryani,Main,277,N,"0.87,0.0,0.46,0.09",0.9
I0142,R010,Veg Biryani,Main,182,Y,"0.48,0.03,0.46,0.3",0.67
I0143,R010,Prawn Biryani,Main,311,N,"0.63,0.09,0.47,0.22",0.86
I0144,R010,Egg Biryani,Main,193,N,"0.61,0.0,0.44,0.18",0.76
I0145,R010,Raita,Side,34,Y,"0.0,0.16,0.15,0.32",0.62
I0146,R010,Mirchi Ka Salan,Side,42,Y,"0.77,0.07,0.37,0.38",0.57
I0147,R010,Brinjal Curry,Side,72,Y,"0.58,0.0,0.41,0.32",0.53
I0148,R010,Lime Soda,Drink,61,Y,"0.08,0.2,0.15,0.69",0.45
I0149,R010,Lassi,Drink,80,Y,"0.04,0.32,0.03,0.06",0.42
I0150,R010,Pepsi,Drink,40,Y,"0.06,0.46,0.07,0.13",0.69
I0151,R010,Chicken 65,Starter,188,N,"0.94,0.0,0.34,0.22",0.61
I0152,R010,Seekh Kebab,Starter,211,N,"0.65,0.08,0.43,0.09",0.54
I0153,R010,Veg Shami Kebab,Starter,148,Y,"0.53,0.08,0.39,0.06",0.7
I0154,R010,Kheer,Dessert,72,Y,"0.0,0.87,0.02,0.03",0.63
I0155,R010,Gulab Jamun,Dessert,68,Y,"0.0,0.96,0.2,0.07",0.46
I0156,R011,Masala Dosa,Main,82,Y,"0.31,0.11,0.5,0.46",0.94
I0157,R011,Rava Idli,Main,81,Y,"0.08,0.0,0.37,0.26",0.94
I0158,R011,Bisi Bele Bath,Main,129,Y,"0.42,0.1,0.58,0.16",0.84
I0159,R011,Medu Vada,Main,69,Y,"0.26,0.0,0.34,0.05",0.82
I0160,R011,Uttapam,Main,104,Y,"0.23,0.07,0.33,0.38",0.76
I0161,R011,Coconut Chutney,Side,19,Y,"0.06,0.01,0.17,0.03",0.9
I0162,R011,Sambar,Side,25,Y,"0.35,0.0,0.33,0.31",0.93
I0163,R011,Ghee,Side,21,Y,"0.0,0.15,0.03,0.08",0.92
I0164,R011,Tomato Chutney,Side,40,Y,"0.16,0.05,0.27,0.42",0.93
I0165,R011,Filter Coffee,Drink,34,Y,"0.05,0.25,0.14,0.03",0.62
I0166,R011,Buttermilk,Drink,47,Y,"0.06,0.0,0.26,0.3",0.7
I0167,R011,Lassi,Drink,64,Y,"0.0,0.45,0.05,0.08",0.75
I0168,R011,Onion Pakoda,Starter,81,Y,"0.22,0.0,0.21,0.28",0.71
I0169,R011,Mysore Bonda,Starter,89,Y,"0.22,0.13,0.33,0.09",0.79
I0170,R011,Mysore Pak,Dessert,70,Y,"0.0,0.83,0.19,0.0",0.67
I0171,R011,Kesari Bath,Dessert,43,Y,"0.0,0.81,0.08,0.07",0.92
I0172,R012,Masala Dosa,Main,92,Y,"0.39,0.08,0.45,0.43",0.63
I0173,R012,Rava Idli,Main,63,Y,"0.17,0.02,0.39,0.16",0.78
I0174,R012,Bisi Bele Bath,Main,106,Y,"0.39,0.19,0.57,0.12",0.78
I0175,R012,Medu Vada,Main,67,Y,"0.28,0.03,0.31,0.06",0.93
I0176,R012,Uttapam,Main,110,Y,"0.27,0.0,0.33,0.33",0.73
I0177,R012,Coconut Chutney,Side,15,Y,"0.0,0.07,0.3,0.16",0.51
I0178,R012,Sambar,Side,41,Y,"0.35,0.0,0.34,0.37",0.58
I0179,R012,Ghee,Side,15,Y,"0.06,0.22,0.06,0.1",0.94
I0180,R012,Tomato Chutney,Side,27,Y,"0.05,0.0,0.33,0.41",0.41
I0181,R012,Filter Coffee,Drink,55,Y,"0.06,0.32,0.0,0.0",0.47
I0182,R012,Buttermilk,Drink,33,Y,"0.01,0.05,0.2,0.46",0.68
I0183,R012,Lassi,Drink,53,Y,"0.0,0.34,0.12,0.15",0.9
I0184,R012,Onion Pakoda,Starter,91,Y,"0.3,0.0,0.39,0.11",0.66
I0185,R012,Mysore Bonda,Starter,72,Y,"0.19,0.02,0.34,0.09",0.89
I0186,R012,Mysore Pak,Dessert,60,Y,"0.02,0.81,0.06,0.03",0.7
I0187,R012,Kesari Bath,Dessert,50,Y,"0.0,0.82,0.06,0.1",0.64
I0188,R013,Classic Burger,Main,195,N,"0.24,0.17,0.43,0.15",0.8
I0189,R013,Spicy Chicken Burger,Main,196,N,"0.69,0.18,0.38,0.27",0.62
I0190,R013,Veg Burger,Main,163,Y,"0.12,0.09,0.33,0.07",0.48
I0191,R013,Double Patty Burger,Main,269,N,"0.29,0.02,0.42,0.09",0.81
I0192,R013,Zinger Burger,Main,221,N,"0.66,0.11,0.42,0.21",0.58
I0193,R013,French Fries,Side,93,Y,"0.08,0.07,0.69,0.0",0.9
I0194,R013,Onion Rings,Side,111,Y,"0.19,0.02,0.47,0.02",0.52
I0195,R013,Coleslaw,Side,81,Y,"0.0,0.27,0.17,0.31",0.46
I0196,R013,Peri Peri Fries,Side,118,Y,"0.61,0.06,0.57,0.29",0.85
I0197,R013,Coca Cola,Drink,69,Y,"0.03,0.51,0.12,0.23",0.78
I0198,R013,Oreo Shake,Drink,140,Y,"0.0,0.94,0.06,0.0",0.4
I0199,R013,Vanilla Shake,Drink,157,Y,"0.0,0.83,0.01,0.05",0.93
I0200,R013,Chicken Popcorn,Starter,152,N,"0.45,0.0,0.48,0.07",0.6
I0201,R013,Mozzarella Sticks,Starter,193,Y,"0.06,0.19,0.52,0.08",0.49
I0202,R013,Soft Serve,Dessert,94,Y,"0.02,0.83,0.0,0.03",0.67
I0203,R013,Brownie Sundae,Dessert,154,Y,"0.0,0.94,0.1,0.0",0.46
I0204,R014,Grilled Chicken,Main,331,N,"0.24,0.0,0.43,0.01",0.62
I0205,R014,Pasta Aglio e Olio,Main,289,Y,"0.11,0.0,0.39,0.05",0.82
I0206,R014,Fish & Chips,Main,349,N,"0.17,0.0,0.55,0.04",0.61
I0207,R014,Risotto,Main,312,Y,"0.05,0.01,0.43,0.0",0.62
I0208,R014,Club Sandwich,Main,263,N,"0.01,0.0,0.48,0.17",0.72
I0209,R014,Caesar Salad,Side,188,Y,"0.0,0.03,0.26,0.18",0.93
I0210,R014,Soup of the Day,Side,145,Y,"0.16,0.02,0.37,0.18",0.45
I0211,R014,Dinner Roll,Side,77,Y,"0.0,0.09,0.18,0.0",0.88
I0212,R014,Fresh Lime Soda,Drink,93,Y,"0.0,0.0,0.0,0.9",0.46
I0213,R014,Iced Tea,Drink,96,Y,"0.0,0.26,0.0,0.39",0.75
I0214,R014,Cold Coffee,Drink,124,Y,"0.0,0.33,0.04,0.02",0.82
I0215,R014,Bruschetta,Starter,190,Y,"0.02,0.09,0.33,0.29",0.71
I0216,R014,Chicken Quesadilla,Starter,228,N,"0.29,0.08,0.41,0.23",0.74
I0217,R014,Cheesecake,Dessert,217,Y,"0.09,0.76,0.09,0.19",0.75
I0218,R014,Panna Cotta,Dessert,195,Y,"0.0,0.61,0.0,0.06",0.65
I0219,R015,Grilled Chicken,Main,311,N,"0.17,0.0,0.43,0.2",0.45
I0220,R015,Pasta Aglio e Olio,Main,289,Y,"0.2,0.0,0.31,0.06",0.89
I0221,R015,Fish & Chips,Main,354,N,"0.28,0.01,0.44,0.12",0.68
I0222,R015,Risotto,Main,320,Y,"0.01,0.0,0.48,0.0",0.79
I0223,R015,Club Sandwich,Main,256,N,"0.13,0.0,0.44,0.2",0.69
I0224,R015,Caesar Salad,Side,189,Y,"0.0,0.0,0.26,0.18",0.59
I0225,R015,Soup of the Day,Side,159,Y,"0.01,0.03,0.27,0.07",0.71
I0226,R015,Dinner Roll,Side,62,Y,"0.0,0.14,0.23,0.08",0.88
I0227,R015,Fresh Lime Soda,Drink,80,Y,"0.0,0.03,0.08,0.86",0.76
I0228,R015,Iced Tea,Drink,101,Y,"0.0,0.22,0.09,0.26",0.61
I0229,R015,Cold Coffee,Drink,145,Y,"0.0,0.33,0.14,0.09",0.95
I0230,R015,Bruschetta,Starter,199,Y,"0.11,0.03,0.28,0.27",0.6
I0231,R015,Chicken Quesadilla,Starter,215,N,"0.39,0.0,0.45,0.14",0.95
I0232,R015,Cheesecake,Dessert,194,Y,"0.0,0.87,0.02,0.25",0.86
I0233,R015,Panna Cotta,Dessert,198,Y,"0.01,0.73,0.08,0.12",0.73
I0234,R016,Chicken Biryani,Main,214,N,"0.73,0.07,0.55,0.26",0.49
I0235,R016,Mutton Biryani,Main,284,N,"0.71,0.0,0.54,0.19",0.74
I0236,R016,Veg Biryani,Main,194,Y,"0.55,0.0,0.41,0.16",0.84
I0237,R016,Prawn Biryani,Main,325,N,"0.78,0.0,0.54,0.31",0.64
I0238,R016,Egg Biryani,Main,214,N,"0.56,0.0,0.41,0.29",0.85
I0239,R016,Raita,Side,55,Y,"0.02,0.17,0.11,0.3",0.6
I0240,R016,Mirchi Ka Salan,Side,69,Y,"0.62,0.07,0.37,0.36",0.82
I0241,R016,Brinjal Curry,Side,58,Y,"0.49,0.0,0.47,0.22",0.9
I0242,R016,Lime Soda,Drink,66,Y,"0.0,0.07,0.01,0.61",0.68
I0243,R016,Lassi,Drink,67,Y,"0.0,0.32,0.04,0.06",0.45
I0244,R016,Pepsi,Drink,52,Y,"0.03,0.56,0.03,0.16",0.86
I0245,R016,Chicken 65,Starter,192,N,"0.97,0.05,0.39,0.22",0.9
I0246,R016,Seekh Kebab,Starter,190,N,"0.65,0.07,0.51,0.15",0.69
I0247,R016,Veg Shami Kebab,Starter,143,Y,"0.56,0.0,0.32,0.05",0.75
I0248,R016,Kheer,Dessert,89,Y,"0.0,0.82,0.08,0.02",0.41
I0249,R016,Gulab Jamun,Dessert,76,Y,"0.02,1.0,0.06,0.0",0.59
I0250,R017,Grilled Chicken,Main,328,N,"0.18,0.03,0.32,0.19",0.44
I0251,R017,Pasta Aglio e Olio,Main,286,Y,"0.21,0.06,0.3,0.0",0.88
I0252,R017,Fish & Chips,Main,341,N,"0.23,0.1,0.45,0.0",0.83
I0253,R017,Risotto,Main,301,Y,"0.05,0.03,0.32,0.02",0.82
I0254,R017,Club Sandwich,Main,244,N,"0.01,0.01,0.46,0.04",0.83
I0255,R017,Caesar Salad,Side,184,Y,"0.1,0.0,0.24,0.13",0.79
I0256,R017,Soup of the Day,Side,170,Y,"0.09,0.0,0.21,0.04",0.42
I0257,R017,Dinner Roll,Side,79,Y,"0.0,0.08,0.26,0.0",0.42
I0258,R017,Fresh Lime Soda,Drink,90,Y,"0.0,0.0,0.06,0.97",0.58
I0259,R017,Iced Tea,Drink,83,Y,"0.06,0.19,0.0,0.29",0.93
I0260,R017,Cold Coffee,Drink,130,Y,"0.09,0.4,0.1,0.08",0.69
I0261,R017,Bruschetta,Starter,195,Y,"0.02,0.0,0.29,0.4",0.5
I0262,R017,Chicken Quesadilla,Starter,219,N,"0.26,0.0,0.43,0.16",0.73
I0263,R017,Cheesecake,Dessert,203,Y,"0.0,0.79,0.09,0.25",0.9
I0264,R017,Panna Cotta,Dessert,189,Y,"0.1,0.65,0.1,0.19",0.44
I0265,R018,Butter Chicken,Main,290,N,"0.38,0.2,0.45,0.03",0.42
I0266,R018,Dal Makhani,Main,237,Y,"0.22,0.16,0.31,0.01",0.83
I0267,R018,Paneer Butter Masala,Main,261,Y,"0.27,0.29,0.31,0.03",0.65
I0268,R018,Chicken Tikka Masala,Main,301,N,"0.47,0.15,0.41,0.21",0.62
I0269,R018,Palak Paneer,Main,250,Y,"0.16,0.09,0.31,0.04",0.68
I0270,R018,Mutton Rogan Josh,Main,369,N,"0.61,0.0,0.45,0.09",0.95
I0271,R018,Butter Naan,Side,49,Y,"0.04,0.2,0.24,0.0",0.44
I0272,R018,Garlic Naan,Side,55,Y,"0.08,0.0,0.32,0.04",0.87
I0273,R018,Jeera Rice,Side,80,Y,"0.13,0.04,0.31,0.0",0.56
I0274,R018,Tandoori Roti,Side,35,Y,"0.04,0.09,0.23,0.06",0.68
I0275,R018,Laccha Paratha,Side,53,Y,"0.1,0.06,0.25,0.0",0.6
I0276,R018,Mango Lassi,Drink,98,Y,"0.0,0.56,0.11,0.12",0.45
I0277,R018,Sweet Lassi,Drink,79,Y,"0.0,0.64,0.1,0.0",0.63
I0278,R018,Masala Chai,Drink,58,Y,"0.01,0.39,0.13,0.0",0.77
I0279,R018,Paneer Tikka,Starter,221,Y,"0.43,0.07,0.41,0.22",0.82
I0280,R018,Chicken Tikka,Starter,254,N,"0.49,0.08,0.31,0.02",0.48
I0281,R018,Tandoori Prawn,Starter,315,N,"0.43,0.09,0.35,0.29",0.69
I0282,R018,Samosa,Starter,59,Y,"0.37,0.0,0.33,0.21",0.47
I0283,R018,Gulab Jamun,Dessert,79,Y,"0.02,0.92,0.13,0.02",0.72
I0284,R018,Rasmalai,Dessert,95,Y,"0.03,0.94,0.02,0.07",0.71
I0285,R018,Gajar Ka Halwa,Dessert,106,Y,"0.07,0.72,0.19,0.05",0.55
I0286,R019,Masala Dosa,Main,76,Y,"0.35,0.08,0.43,0.5",0.74
I0287,R019,Rava Idli,Main,69,Y,"0.13,0.0,0.25,0.26",0.62
I0288,R019,Bisi Bele Bath,Main,114,Y,"0.31,0.01,0.49,0.2",0.51
I0289,R019,Medu Vada,Main,69,Y,"0.13,0.07,0.36,0.2",0.59
I0290,R019,Uttapam,Main,92,Y,"0.13,0.0,0.31,0.26",0.66
I0291,R019,Coconut Chutney,Side,18,Y,"0.0,0.03,0.11,0.19",0.88
I0292,R019,Sambar,Side,28,Y,"0.25,0.07,0.33,0.27",0.72
I0293,R019,Ghee,Side,15,Y,"0.0,0.13,0.2,0.0",0.88
I0294,R019,Tomato Chutney,Side,25,Y,"0.0,0.09,0.3,0.59",0.52
I0295,R019,Filter Coffee,Drink,41,Y,"0.0,0.26,0.12,0.07",0.77
I0296,R019,Buttermilk,Drink,29,Y,"0.01,0.07,0.19,0.48",0.8
I0297,R019,Lassi,Drink,74,Y,"0.0,0.31,0.01,0.11",0.6
I0298,R019,Onion Pakoda,Starter,79,Y,"0.21,0.0,0.35,0.16",0.94
I0299,R019,Mysore Bonda,Starter,81,Y,"0.22,0.03,0.22,0.07",0.94
I0300,R019,Mysore Pak,Dessert,67,Y,"0.09,0.95,0.04,0.0",0.68
I0301,R019,Kesari Bath,Dessert,41,Y,"0.0,0.84,0.16,0.1",0.48
I0302,R020,Grilled Chicken,Main,338,N,"0.2,0.0,0.42,0.03",0.94
I0303,R020,Pasta Aglio e Olio,Main,293,Y,"0.27,0.02,0.3,0.0",0.67
I0304,R020,Fish & Chips,Main,358,N,"0.16,0.06,0.47,0.13",0.94
I0305,R020,Risotto,Main,308,Y,"0.06,0.08,0.47,0.03",0.73
I0306,R020,Club Sandwich,Main,248,N,"0.19,0.06,0.46,0.12",0.8
I0307,R020,Caesar Salad,Side,188,Y,"0.0,0.0,0.34,0.25",0.61
I0308,R020,Soup of the Day,Side,166,Y,"0.14,0.0,0.39,0.02",0.41
I0309,R020,Dinner Roll,Side,60,Y,"0.0,0.08,0.14,0.0",0.74
I0310,R020,Fresh Lime Soda,Drink,85,Y,"0.07,0.05,0.0,0.83",0.51
I0311,R020,Iced Tea,Drink,90,Y,"0.1,0.2,0.0,0.39",0.65
